date,campaign,channel,region,impressions,clicks,conversions,spend,revenue
2024-01-01,Brand Awareness,Google Ads,North America,125000,3750,187,4500.00,18700.00
2024-01-01,Brand Awareness,Facebook,North America,98000,2940,147,3200.00,14700.00
2024-01-01,Product Launch,Instagram,Europe,87000,4350,261,2800.00,26100.00
2024-01-01,Retargeting,Google Ads,Asia Pacific,45000,2250,180,1500.00,18000.00
2024-01-02,Brand Awareness,Google Ads,North America,132000,3960,198,4750.00,19800.00
2024-01-02,Brand Awareness,Facebook,North America,102000,3060,153,3350.00,15300.00
2024-01-02,Product Launch,Instagram,Europe,91000,4550,273,2950.00,27300.00
2024-01-02,Retargeting,Google Ads,Asia Pacific,48000,2400,192,1600.00,19200.00
2024-01-03,Brand Awareness,Google Ads,North America,118000,3540,177,4250.00,17700.00
2024-01-03,Brand Awareness,Facebook,North America,95000,2850,142,3100.00,14200.00
2024-01-03,Product Launch,Instagram,Europe,84000,4200,252,2700.00,25200.00
2024-01-03,Retargeting,Google Ads,Asia Pacific,42000,2100,168,1400.00,16800.00
2024-01-04,Brand Awareness,Google Ads,North America,145000,4350,217,5200.00,21700.00
2024-01-04,Brand Awareness,Facebook,North America,115000,3450,172,3800.00,17200.00
2024-01-04,Product Launch,Instagram,Europe,96000,4800,288,3100.00,28800.00
2024-01-04,Retargeting,Google Ads,Asia Pacific,52000,2600,208,1750.00,20800.00
2024-01-05,Brand Awareness,Google Ads,North America,138000,4140,207,4900.00,20700.00
2024-01-05,Brand Awareness,Facebook,North America,108000,3240,162,3550.00,16200.00
2024-01-05,Product Launch,Instagram,Europe,89000,4450,267,2850.00,26700.00
2024-01-05,Retargeting,Google Ads,Asia Pacific,49000,2450,196,1650.00,19600.00
2024-01-06,Brand Awareness,Google Ads,North America,92000,2760,138,3300.00,13800.00
2024-01-06,Brand Awareness,Facebook,North America,75000,2250,112,2450.00,11200.00
2024-01-06,Product Launch,Instagram,Europe,68000,3400,204,2200.00,20400.00
2024-01-06,Retargeting,Google Ads,Asia Pacific,35000,1750,140,1150.00,14000.00
2024-01-07,Brand Awareness,Google Ads,North America,88000,2640,132,3150.00,13200.00
2024-01-07,Brand Awareness,Facebook,North America,72000,2160,108,2350.00,10800.00
2024-01-07,Product Launch,Instagram,Europe,65000,3250,195,2100.00,19500.00
2024-01-07,Retargeting,Google Ads,Asia Pacific,33000,1650,132,1100.00,13200.00
2024-01-08,Brand Awareness,Google Ads,North America,142000,4260,213,5100.00,21300.00
2024-01-08,Brand Awareness,Facebook,North America,112000,3360,168,3700.00,16800.00
2024-01-08,Product Launch,Instagram,Europe,94000,4700,282,3050.00,28200.00
2024-01-08,Retargeting,Google Ads,Asia Pacific,51000,2550,204,1700.00,20400.00
2024-01-09,Brand Awareness,Google Ads,North America,148000,4440,222,5300.00,22200.00
2024-01-09,Brand Awareness,Facebook,North America,118000,3540,177,3900.00,17700.00
2024-01-09,Product Launch,Instagram,Europe,98000,4900,294,3200.00,29400.00
2024-01-09,Retargeting,Google Ads,Asia Pacific,54000,2700,216,1800.00,21600.00
2024-01-10,Brand Awareness,Google Ads,North America,155000,4650,232,5550.00,23200.00
2024-01-10,Brand Awareness,Facebook,North America,122000,3660,183,4050.00,18300.00
2024-01-10,Product Launch,Instagram,Europe,102000,5100,306,3300.00,30600.00
2024-01-10,Retargeting,Google Ads,Asia Pacific,56000,2800,224,1900.00,22400.00
2024-01-11,Brand Awareness,Google Ads,North America,152000,4560,228,5400.00,22800.00
2024-01-11,Brand Awareness,Facebook,North America,120000,3600,180,3950.00,18000.00
2024-01-11,Product Launch,Instagram,Europe,100000,5000,300,3250.00,30000.00
2024-01-11,Retargeting,Google Ads,Asia Pacific,55000,2750,220,1850.00,22000.00
2024-01-12,Brand Awareness,Google Ads,North America,98000,2940,147,3500.00,14700.00
2024-01-12,Brand Awareness,Facebook,North America,78000,2340,117,2550.00,11700.00
2024-01-12,Product Launch,Instagram,Europe,72000,3600,216,2350.00,21600.00
2024-01-12,Retargeting,Google Ads,Asia Pacific,38000,1900,152,1250.00,15200.00
2024-01-13,Brand Awareness,Google Ads,North America,95000,2850,142,3400.00,14200.00
2024-01-13,Brand Awareness,Facebook,North America,76000,2280,114,2500.00,11400.00
2024-01-13,Product Launch,Instagram,Europe,70000,3500,210,2300.00,21000.00
2024-01-13,Retargeting,Google Ads,Asia Pacific,36000,1800,144,1200.00,14400.00
2024-01-14,Brand Awareness,Google Ads,North America,158000,4740,237,5650.00,23700.00
2024-01-14,Brand Awareness,Facebook,North America,125000,3750,187,4150.00,18700.00
2024-01-14,Product Launch,Instagram,Europe,105000,5250,315,3400.00,31500.00
2024-01-14,Retargeting,Google Ads,Asia Pacific,58000,2900,232,1950.00,23200.00
2024-01-15,Brand Awareness,Google Ads,North America,162000,4860,243,5800.00,24300.00
2024-01-15,Brand Awareness,Facebook,North America,128000,3840,192,4250.00,19200.00
2024-01-15,Product Launch,Instagram,Europe,108000,5400,324,3500.00,32400.00
2024-01-15,Retargeting,Google Ads,Asia Pacific,60000,3000,240,2000.00,24000.00
2024-01-16,Brand Awareness,TikTok,North America,185000,9250,462,3700.00,46200.00
2024-01-16,Lead Generation,LinkedIn,Europe,42000,1260,63,5200.00,12600.00
2024-01-16,Seasonal Sale,Google Ads,Asia Pacific,78000,3900,312,2600.00,31200.00
2024-01-16,Retargeting,Email,North America,25000,2500,375,250.00,37500.00
2024-01-17,Brand Awareness,TikTok,North America,192000,9600,480,3850.00,48000.00
2024-01-17,Lead Generation,LinkedIn,Europe,45000,1350,67,5500.00,13400.00
2024-01-17,Seasonal Sale,Google Ads,Asia Pacific,82000,4100,328,2750.00,32800.00
2024-01-17,Retargeting,Email,North America,28000,2800,420,280.00,42000.00
2024-01-18,Brand Awareness,TikTok,North America,178000,8900,445,3550.00,44500.00
2024-01-18,Lead Generation,LinkedIn,Europe,40000,1200,60,4900.00,12000.00
2024-01-18,Seasonal Sale,Google Ads,Asia Pacific,75000,3750,300,2500.00,30000.00
2024-01-18,Retargeting,Email,North America,24000,2400,360,240.00,36000.00
2024-01-19,Brand Awareness,TikTok,North America,145000,7250,362,2900.00,36200.00
2024-01-19,Lead Generation,LinkedIn,Europe,32000,960,48,3950.00,9600.00
2024-01-19,Seasonal Sale,Google Ads,Asia Pacific,62000,3100,248,2050.00,24800.00
2024-01-19,Retargeting,Email,North America,18000,1800,270,180.00,27000.00
2024-01-20,Brand Awareness,TikTok,North America,138000,6900,345,2750.00,34500.00
2024-01-20,Lead Generation,LinkedIn,Europe,30000,900,45,3700.00,9000.00
2024-01-20,Seasonal Sale,Google Ads,Asia Pacific,58000,2900,232,1950.00,23200.00
2024-01-20,Retargeting,Email,North America,16000,1600,240,160.00,24000.00
2024-01-21,Brand Awareness,TikTok,North America,198000,9900,495,3950.00,49500.00
2024-01-21,Lead Generation,LinkedIn,Europe,48000,1440,72,5900.00,14400.00
2024-01-21,Seasonal Sale,Google Ads,Asia Pacific,85000,4250,340,2850.00,34000.00
2024-01-21,Retargeting,Email,North America,30000,3000,450,300.00,45000.00

